country,code,continent,population,annual_co2_emissions_per_capita,waste_per_capita_tons_year,gdp_per_capita,income,life_expectancy,child_mortality,health_spending_per_capita
British Virgin Islands,VGB,North America,37122,4.836377,1.022,NA,HIC,76.8941,1.3914775,NA
Brunei,BRN,Asia,447365,24.939121,0.511,80287.89660567993,HIC,75.1138,0.97385,1574.7032
Bulgaria,BGR,Europe,6933606,5.285019,0.4069999916014677,26969.26515192816,UMC,73.5992,0.6477728,2177.5525
Burkina Faso,BFA,Africa,21478640,0.25035635,0.1421956035308336,2380.937260785599,LIC,60.4536,8.52543,145.45778
Burundi,BDI,Africa,12616994,0.058575917,0.2776825394800528,833.9230334103353,LIC,62.5694,5.463195,77.984245
Cambodia,KHM,Asia,16725440,1.1380401,0.07131261709446597,6128.794896576712,LMC,70.0594,2.5629373,314.83292
Cameroon,CMR,Africa,26210514,0.37067682,0.15102786673042812,4763.489940410936,LMC,61.6738,7.464934,166.4186
Canada,CAN,North America,38171851,13.795024,0.7062411568756336,53889.93358160703,HIC,81.6536,0.5118379,6304.7935
Cape Verde,CPV,Africa,514632,1.0038707,0.2578996418141597,7208.526815277713,LMC,73.8177,1.3346168,482.97708
Central African Republic,CAF,Africa,5026583,0.047380097,0.24493620930364407,1136.5807048247289,LIC,50.5959,12.262269,87.649895
Chad,TCD,Africa,17224636,0.13680673,0.1143120584642206,2513.0220575343365,LIC,53.0818,11.100515,92.168686
Chile,CHL,South America,19370563,4.1391754,0.3872380320155594,26248.644302801113,HIC,79.3488,0.6766095,2458.3606
China,CHN,Asia,1426106040,7.6471825,0.28219089493577876,19012.964877265367,UMC,78.0191,0.7516634,963.8324
Colombia,COL,South America,50629945,1.7723011,0.2618185222082836,15861.516219837884,UMC,74.7565,1.3240182,1351.4065
Comoros,COM,Africa,802126,0.46592182,0.11706996439523348,3424.6976534858613,LIC,65.7559,4.352619,200.81992
Congo,COG,Africa,5752741,1.334546,0.170360131198445,6350.564329595231,LMC,64.3907,4.4732423,157.6602
Costa Rica,CRI,North America,5034273,1.344883,0.3068790297578073,22212.068762063558,UMC,79.7252,0.937115,1729.4158
Cote d'Ivoire,CIV,Africa,28915402,0.38095695,0.21767276126872498,5787.8247407731005,LMC,60.1397,7.3715596,180.79243
Croatia,HRV,Europe,3953898,4.2696104,0.445,32167.431640118182,HIC,77.4972,0.46846285,2341.5771
Cuba,CUB,North America,11176301,1.9037757,0.23821360057121185,NA,UMC,77.4075,0.71884674,2623.3838
Curacao,CUW,North America,184982,9.804629,0.1606,19895.034646614266,HIC,76.5011,NA,NA
Cyprus,CYP,Europe,1302202,5.3869967,0.6419999791418977,30279.585353117258,HIC,81.2302,0.3240232,3766.15
Czechia,CZE,Europe,10550083,8.689388,0.5,45751.93365891055,HIC,78.237,0.29058498,4023.5557
Democratic Republic of Congo,COD,Africa,95989947,0.04481212,0.1827016644145881,1277.633542270838,LIC,60.4283,8.069858,43.20407
Denmark,DNK,Europe,5831483,4.8519464,0.8439999601275437,65203.66598393582,HIC,81.5458,0.3687157,6712.1724
Djibouti,DJI,Africa,1105141,0.41900718,0.15410615487905058,5791.723979112167,LMC,64.2001,5.5615664,115.1268
Dominica,DMA,North America,67536,2.3328595,0.1819889502762431,14927.704513148543,UMC,71.2693,3.3822353,706.7451
Dominican Republic,DOM,North America,11008252,2.4541068,0.3859952429591826,19545.495180342892,UMC,72.6358,3.3750648,874.01526
East Timor,TLS,Asia,1326002,0.4875513,0.05034796255293926,6598.288368343336,LMC,66.9191,5.421896,365.6933
Ecuador,ECU,South America,17546006,1.8756075,0.3281151137659895,12440.368206473884,UMC,72.0036,1.3563125,916.4363
Egypt,EGY,Africa,109315075,2.1530209,0.23914384862349256,15309.242850466873,LMC,69.7897,1.9378,517.0255
El Salvador,SLV,North America,6234631,1.0577208,0.2674933045411027,9692.514609765998,LMC,70.2436,1.1689332,791.0483
Equatorial Guinea,GNQ,Africa,1716435,3.7353525,0.16245983184471424,17089.48228042425,UMC,62.1408,7.880993,590.32855
Eritrea,ERI,Africa,3291224,0.19473332,0.16245982850208618,NA,LIC,66.9802,3.9050062,84.72388
Estonia,EST,Europe,1329618,6.917965,0.36900000663354915,41337.779798408264,HIC,78.8929,0.24165544,3040.1865
Eswatini,SWZ,Africa,1192690,0.9400464,0.16245982795000813,9727.831981487227,LMC,59.8618,4.981697,613.21606
Ethiopia,ETH,Africa,118917625,0.13328455,0.0654109206377153,2516.550049876963,LIC,65.9688,5.1963224,81.61536
Faroe Islands,FRO,Europe,52575,14.42602,1.2489251054420376,65126.65803138374,HIC,79.9822,NA,NA
Fiji,FJI,Oceania,914920,1.0972939,0.2184207725646591,11255.498784593188,UMC,66.924,2.7190948,615.992
Finland,FIN,Europe,5529559,6.8179035,0.566000004709877,55424.69712485209,HIC,81.8219,0.23242284,5169.5825
France,FRA,Europe,65905226,4.25596,0.5480000205189726,50580.22066521705,HIC,82.1993,0.42449665,5997.352
French Polynesia,PYF,Oceania,279166,2.9793313,0.5374221286303413,NA,HIC,82.4588,NA,NA
Gabon,GAB,Africa,2322485,2.42184,0.21921940786475372,18681.918436071708,UMC,67.0725,3.6198354,495.23804
Gambia,GMB,Africa,2515694,0.27818328,0.14751263012363605,2702.3610876362545,LIC,64.4183,4.8941536,82.28209
Georgia,GEO,Asia,3795624,2.7860782,0.21522154367652202,16704.00239117468,LMC,73.5094,0.95723534,1219.4146
Germany,DEU,Europe,83628661,7.752807,0.6090000096231571,60005.12657857813,HIC,81.0036,0.36987093,7347.7817
